TagId,Time.local,NodeId,TagRSSI
1919552D,2022-03-08T12:55:19Z,328840,-77
1919552D,2022-03-08T12:55:24Z,328840,-86
1919552D,2022-03-08T12:55:29Z,328840,-88
1919552D,2022-03-08T12:55:34Z,328840,-90
1919552D,2022-03-08T12:55:39Z,328840,-90
1919552D,2022-03-08T12:55:44Z,328840,-88
1919552D,2022-03-08T12:55:49Z,328840,-90
1919552D,2022-03-08T12:55:54Z,328840,-90
1919552D,2022-03-08T12:55:59Z,328840,-79
1919552D,2022-03-08T12:56:04Z,328840,-94
1919552D,2022-03-08T12:56:09Z,328840,-81
1919552D,2022-03-08T12:56:14Z,328840,-85
1919552D,2022-03-08T12:56:19Z,328840,-86
1919552D,2022-03-08T12:56:24Z,328840,-90
1919552D,2022-03-08T12:52:33Z,377905,-108
1919552D,2022-03-08T12:53:50Z,377905,-108
1919552D,2022-03-08T12:54:09Z,377905,-99
1919552D,2022-03-08T12:54:14Z,377905,-100
1919552D,2022-03-08T12:54:19Z,377905,-102
1919552D,2022-03-08T12:54:24Z,377905,-105
1919552D,2022-03-08T12:54:29Z,377905,-101
1919552D,2022-03-08T12:54:34Z,377905,-106
1919552D,2022-03-08T12:54:39Z,377905,-102
1919552D,2022-03-08T12:54:44Z,377905,-102
1919552D,2022-03-08T12:54:49Z,377905,-108
1919552D,2022-03-08T12:54:54Z,377905,-100
1919552D,2022-03-08T12:54:59Z,377905,-100
1919552D,2022-03-08T12:55:19Z,377905,-104
1919552D,2022-03-08T12:55:59Z,377905,-106
1919552D,2022-03-08T12:56:09Z,377905,-102
1919552D,2022-03-08T12:56:14Z,377905,-103
1919552D,2022-03-08T12:56:19Z,377905,-103
1919552D,2022-03-08T12:56:24Z,377905,-107
1919552D,2022-03-08T12:56:19Z,3774a7,-99
1919552D,2022-03-08T12:56:24Z,3774a7,-98
1919552D,2022-03-08T12:56:29Z,3774a7,-93
1919552D,2022-03-08T12:56:34Z,3774a7,-101
1919552D,2022-03-08T12:56:39Z,3774a7,-99
1919552D,2022-03-08T12:56:44Z,3774a7,-97
1919552D,2022-03-08T12:54:19Z,377bc2,-108
1919552D,2022-03-08T12:54:39Z,377bc2,-108
1919552D,2022-03-08T12:54:59Z,3775bf,-103
1919552D,2022-03-08T12:55:04Z,3775bf,-97
1919552D,2022-03-08T12:55:09Z,3775bf,-90
1919552D,2022-03-08T12:55:14Z,3775bf,-85
1919552D,2022-03-08T12:55:19Z,3775bf,-81
1919552D,2022-03-08T12:55:24Z,3775bf,-100
1919552D,2022-03-08T12:55:29Z,3775bf,-97
1919552D,2022-03-08T12:55:34Z,3775bf,-101
1919552D,2022-03-08T12:55:39Z,3775bf,-96
1919552D,2022-03-08T12:55:44Z,3775bf,-99
1919552D,2022-03-08T12:55:49Z,3775bf,-97
1919552D,2022-03-08T12:55:54Z,3775bf,-97
1919552D,2022-03-08T12:55:59Z,3775bf,-97
1919552D,2022-03-08T12:56:04Z,3775bf,-91
1919552D,2022-03-08T12:56:09Z,3775bf,-96
1919552D,2022-03-08T12:56:14Z,3775bf,-95
1919552D,2022-03-08T12:56:19Z,3775bf,-88
1919552D,2022-03-08T12:56:24Z,3775bf,-91
1919552D,2022-03-08T12:56:29Z,3775bf,-83
1919552D,2022-03-08T12:56:34Z,3775bf,-89
1919552D,2022-03-08T12:56:39Z,3775bf,-89
1919552D,2022-03-08T12:56:44Z,3775bf,-91
1919552D,2022-03-08T12:56:49Z,3775bf,-95
1919552D,2022-03-08T12:56:54Z,3775bf,-91
1919552D,2022-03-08T12:55:05Z,3288000000,-93
1919552D,2022-03-08T12:55:10Z,3288000000,-87
1919552D,2022-03-08T12:55:15Z,3288000000,-87
1919552D,2022-03-08T12:55:20Z,3288000000,-80
1919552D,2022-03-08T12:55:25Z,3288000000,-85
1919552D,2022-03-08T12:55:30Z,3288000000,-87
1919552D,2022-03-08T12:55:35Z,3288000000,-85
1919552D,2022-03-08T12:55:40Z,3288000000,-86
1919552D,2022-03-08T12:55:45Z,3288000000,-88
1919552D,2022-03-08T12:55:50Z,3288000000,-86
1919552D,2022-03-08T12:55:55Z,3288000000,-88
1919552D,2022-03-08T12:56:00Z,3288000000,-90
1919552D,2022-03-08T12:56:05Z,3288000000,-95
1919552D,2022-03-08T12:56:10Z,3288000000,-99
1919552D,2022-03-08T12:56:15Z,3288000000,-97
1919552D,2022-03-08T12:56:20Z,3288000000,-92
1919552D,2022-03-08T12:56:25Z,3288000000,-98
1919552D,2022-03-08T12:56:30Z,3288000000,-87
1919552D,2022-03-08T12:56:35Z,3288000000,-89
1919552D,2022-03-08T12:56:40Z,3288000000,-96
1919552D,2022-03-08T12:56:45Z,3288000000,-92
1919552D,2022-03-08T12:56:50Z,3288000000,-89
1919552D,2022-03-08T12:56:55Z,3288000000,-88
1919552D,2022-03-08T12:57:11Z,3288000000,-97
1919552D,2022-03-08T12:55:09Z,37774c,-90
1919552D,2022-03-08T12:55:14Z,37774c,-90
1919552D,2022-03-08T12:55:19Z,37774c,-85
1919552D,2022-03-08T12:55:24Z,37774c,-105
1919552D,2022-03-08T12:55:29Z,37774c,-101
1919552D,2022-03-08T12:55:34Z,37774c,-104
1919552D,2022-03-08T12:55:39Z,37774c,-106
1919552D,2022-03-08T12:55:44Z,37774c,-105
1919552D,2022-03-08T12:55:49Z,37774c,-102
1919552D,2022-03-08T12:55:59Z,37774c,-93
1919552D,2022-03-08T12:56:04Z,37774c,-100
1919552D,2022-03-08T12:56:09Z,37774c,-88
1919552D,2022-03-08T12:56:14Z,37774c,-91
1919552D,2022-03-08T12:56:19Z,37774c,-91
1919552D,2022-03-08T12:56:24Z,37774c,-91
1919552D,2022-03-08T12:56:29Z,37774c,-87
1919552D,2022-03-08T12:56:34Z,37774c,-93
1919552D,2022-03-08T12:56:39Z,37774c,-96
1919552D,2022-03-08T12:56:44Z,37774c,-96
1919552D,2022-03-08T12:56:49Z,37774c,-93
1919552D,2022-03-08T12:56:54Z,37774c,-89
1919552D,2022-03-08T12:57:10Z,37774c,-102
1919552D,2022-03-08T12:57:26Z,37774c,-100
1919552D,2022-03-08T12:57:31Z,37774c,-94
1919552D,2022-03-08T12:55:04Z,379611,-107
1919552D,2022-03-08T12:55:09Z,379611,-101
1919552D,2022-03-08T12:55:14Z,379611,-103
1919552D,2022-03-08T12:55:19Z,379611,-100
1919552D,2022-03-08T12:55:24Z,379611,-108
1919552D,2022-03-08T12:55:29Z,379611,-108
1919552D,2022-03-08T12:55:34Z,379611,-109
1919552D,2022-03-08T12:55:39Z,379611,-107
1919552D,2022-03-08T12:55:44Z,379611,-110
1919552D,2022-03-08T12:55:49Z,379611,-107
1919552D,2022-03-08T12:55:59Z,379611,-105
