,Y,X
492,-87,360.18899999999996
493,-87,360.18899999999996
494,-104,753.695
495,-84,429.666
496,-84,429.666
497,-93,735.688
498,-93,735.688
499,-94,695.067
500,-94,695.067
501,-107,658.3679999999999
502,-107,658.3679999999999
503,-87,657.861
504,-87,657.861
505,-93,151.709
506,-93,151.709
507,-80,256.003
508,-80,256.003
509,-89,239.77100000000002
510,-89,239.77100000000002
511,-72,100.59400000000001
512,-72,100.59400000000001
513,-86,685.447
514,-86,685.447
515,-92,827.413
516,-92,827.413
517,-85,545.6959999999999
518,-85,545.6959999999999
519,-108,855.272
520,-104,335.39799999999997
521,-104,335.39799999999997
522,-94,268.368
523,-94,268.368
524,-109,507.97400000000005
525,-109,507.97400000000005
526,-93,219.98899999999998
527,-91,846.8299999999999
528,-91,846.8299999999999
529,-102,873.423
530,-102,873.423
531,-80,382.654
532,-80,382.654
533,-81,309.014
534,-94,561.9490000000001
535,-94,561.9490000000001
536,-90,704.245
537,-90,704.245
538,-85,931.8100000000001
539,-85,931.8100000000001
540,-85,523.439
541,-85,523.439
542,-91,799.783
543,-91,799.783
544,-92,365.65500000000003
545,-92,365.65500000000003
546,-104,755.914
547,-87,430.035
548,-87,430.035
549,-93,735.005
550,-93,735.005
551,-95,692.821
552,-95,692.821
553,-105,664.989
554,-105,664.989
555,-86,658.991
556,-86,658.991
557,-90,144.741
558,-90,144.741
559,-72,101.20700000000001
560,-72,101.20700000000001
561,-89,682.1
562,-89,682.1
563,-90,824.191
564,-90,824.191
565,-87,543.824
566,-87,543.824
567,-97,261.296
568,-93,224.796
569,-93,224.796
570,-93,842.471
571,-93,842.471
572,-103,872.4159999999999
573,-103,872.4159999999999
574,-78,378.424
575,-78,378.424
576,-81,310.961
577,-97,556.6750000000001
578,-97,556.6750000000001
579,-93,696.817
580,-93,696.817
581,-88,931.924
582,-88,931.924
583,-90,517.6840000000001
584,-90,517.6840000000001
585,-90,800.761
586,-90,800.761
587,-104,759.709
588,-83,430.948
589,-83,430.948
590,-97,734.105
591,-97,734.105
592,-96,689.372
593,-96,689.372
594,-103,675.797
595,-103,675.797
596,-90,661.049
597,-90,661.049
598,-86,133.45299999999997
599,-86,133.45299999999997
600,-75,236.37900000000002
601,-75,236.37900000000002
602,-70,103.30499999999999
603,-86,819.114
604,-87,541.029
605,-87,541.029
606,-97,317.99300000000005
607,-97,232.907
608,-97,232.907
609,-91,835.515
610,-91,835.515
611,-99,870.962
612,-99,870.962
613,-79,371.786
614,-79,371.786
615,-83,314.503
616,-100,548.231
617,-100,548.231
618,-90,676.837
619,-90,676.837
620,-96,700.7529999999999
621,-96,700.7529999999999
622,-97,945.133
623,-97,945.133
624,-93,524.437
